termo,df_estimado,idf
castellitto,12,9.25484892674875
casting,988,4.9231039525875735
casting acting,22,8.684304068281136
casting choice,21,8.72875583085197
casting choices,18,8.875359305043844
casting director,31,8.354062381410559
casting film,14,9.111748083108075
casting good,20,8.775275846486863
casting movie,15,9.047209561970504
casting perfect,23,8.64174445386234
castle,309,6.083225986731094
castle blood,10,9.421903011411915
castle sky,15,9.047209561970504
castles,36,8.20888037156606
castro,43,8.035608650292025
casts,141,6.863971226609025
casual,141,6.863971226609025
casually,79,7.437771649536404
casualties,32,8.323290722743806
casualty,22,8.684304068281136
cat,614,5.3981760164037675
cat brain,14,9.111748083108075
cat hat,38,8.156236638080639
cat mouse,67,7.600290579034179
cat people,18,8.875359305043844
catalan,7,9.74035674253045
catalina,15,9.047209561970504
catalog,41,8.082128665926916
catalogue,37,8.1822121244839
catalyst,41,8.082128665926916
catandmouse,30,8.38581107972514
catapulted,15,9.047209561970504
catastrophe,52,7.849506370658164
catastrophic,30,8.38581107972514
catatonic,23,8.64174445386234
catch,798,5.136437338444011
catch glimpse,17,8.92942652631412
catch movie,14,9.111748083108075
catch tv,16,8.98658494015407
catcher,12,9.25484892674875
catches,191,6.5623029121825045
catching,155,6.769942276960749
catchphrase,18,8.875359305043844
catchphrases,25,8.561701746188803
catchy,157,6.757203251183319
cate,14,9.111748083108075
categories,71,7.543132165194231
categorize,21,8.72875583085197
categorized,17,8.92942652631412
category,375,5.890209140820391
cater,27,8.487593774035082
catered,17,8.92942652631412
catering,28,8.452502454223811
caters,19,8.824066010656296
cates,11,9.334891634422286
catharsis,29,8.41860090254813
cathartic,30,8.38581107972514
cathedral,16,8.98658494015407
catherine,239,6.339159360868295
catherine deneuve,26,8.523961418205957
catherine zeta,20,8.775275846486863
catherine zetajones,22,8.684304068281136
catherines,15,9.047209561970504
catholic,180,6.62130125294446
catholic church,56,7.776747016375736
catholic school,12,9.25484892674875
catholicism,18,8.875359305043844
catholics,24,8.600922459342085
cathy,43,8.035608650292025
cats,195,6.541683624979768
cats dogs,12,9.25484892674875
cattle,84,7.377147027719969
catty,14,9.111748083108075
catwoman,43,8.035608650292025
caucasian,32,8.323290722743806
caught,1071,4.842516942579539
caught attention,36,8.20888037156606
caught eye,17,8.92942652631412
caught film,24,8.600922459342085
caught guard,16,8.98658494015407
caught middle,20,8.775275846486863
caught movie,45,7.991156887721191
cause,947,4.965443781955264
cause just,17,8.92942652631412
cause movie,14,9.111748083108075
cause people,15,9.047209561970504
cause trouble,14,9.111748083108075
caused,413,5.793932310384972
causes,322,6.04214596098763
causing,227,6.390452655255845
caustic,19,8.824066010656296
caution,71,7.543132165194231
cautionary,40,8.106226217505977
cautionary tale,30,8.38581107972514
cautious,29,8.41860090254813
cavalier,18,8.875359305043844
cavalry,55,7.794446593475136
cavanagh,14,9.111748083108075
cavanaugh,11,9.334891634422286
cave,162,6.726048083403524
cave dwellers,10,9.421903011411915
caveat,17,8.92942652631412
caveman,25,8.561701746188803
cavemen,27,8.487593774035082
cavern,22,8.684304068281136
caves,43,8.035608650292025
cavorting,18,8.875359305043844
cb,19,8.824066010656296
cbc,22,8.684304068281136
cbs,85,7.365450987956778
cd,154,6.776373167291039
cds,26,8.523961418205957
cease,27,8.487593774035082
ceased,19,8.824066010656296
ceases,39,8.130918830096348
cecil,61,7.692663899165194
cecil demille,24,8.600922459342085
cecilia,15,9.047209561970504
cedric,48,7.927977986099659
cedric hardwicke,18,8.875359305043844
ceiling,77,7.463089457520694
ceilings,14,9.111748083108075
celebi,9,9.517213191216241
celebrate,77,7.463089457520694
celebrated,94,7.265921392609745
celebrates,35,8.236279345754177
celebrating,52,7.849506370658164
celebration,115,7.0662080931039215
celebrities,77,7.463089457520694
celebrity,155,6.769942276960749
celebs,18,8.875359305043844
celeste,17,8.92942652631412
celestial,21,8.72875583085197
celestine,10,9.421903011411915
celia,11,9.334891634422286
celie,14,9.111748083108075
celine,26,8.523961418205957
cell,251,6.290369196698863
cell phone,70,7.5571184071689705
cell phones,16,8.98658494015407
cellar,44,8.013135794439966
cellphone,21,8.72875583085197
cells,98,7.224678434075696
celluloid,232,6.368759830644585
celtic,20,8.775275846486863
cement,35,8.236279345754177
cemented,18,8.875359305043844
cemetery,99,7.214628098222194
cena,21,8.72875583085197
censor,22,8.684304068281136
censored,48,7.927977986099659
censors,61,7.692663899165194
censorship,65,7.63014354218386
cent,50,7.88797265148596
center,404,5.815911217103746
center attention,15,9.047209561970504
center earth,10,9.421903011411915
center film,16,8.98658494015407
center stage,19,8.824066010656296
center story,21,8.72875583085197
centered,125,6.983516377258808
centering,21,8.72875583085197
centerpiece,23,8.64174445386234
centers,160,6.738393919225823
central,690,5.281658460442616
central character,70,7.5571184071689705
central characters,60,7.708924420036975
central figure,15,9.047209561970504
central idea,17,8.92942652631412
central park,28,8.452502454223811
central performance,18,8.875359305043844
central plot,31,8.354062381410559
central role,21,8.72875583085197
central story,15,9.047209561970504
central theme,39,8.130918830096348
centre,110,7.110268082897952
centred,22,8.684304068281136
centres,47,7.948597273302394
cents,103,7.175407385068913
centuries,87,7.342461469732079
century,874,5.045574397852671
century ago,17,8.92942652631412
century england,16,8.98658494015407
century film,14,9.111748083108075
century fox,35,8.236279345754177
centuryfox,13,9.180740954595027
centurys,16,8.98658494015407
ceo,26,8.523961418205957
cercle,13,9.180740954595027
cercle rouge,11,9.334891634422286
cereal,17,8.92942652631412
cerebral,94,7.265921392609745
cerebral palsy,30,8.38581107972514
ceremonies,23,8.64174445386234
ceremony,66,7.615105664819319
certain,1444,4.543933683663753
certain age,19,8.824066010656296
certain aspects,33,8.293437759594124
certain characters,21,8.72875583085197
certain charm,16,8.98658494015407
certain death,14,9.111748083108075
certain degree,21,8.72875583085197
certain extent,20,8.775275846486863
certain level,21,8.72875583085197
certain parts,26,8.523961418205957
certain people,20,8.775275846486863
certain point,30,8.38581107972514
certain points,16,8.98658494015407
certain scenes,58,7.742260840304566
certain things,44,8.013135794439966
certain time,16,8.98658494015407
certain way,15,9.047209561970504
certainly,2643,3.939750083238709
certainly best,42,8.058598168516724
certainly better,47,7.948597273302394
certainly case,15,9.047209561970504
certainly deserves,18,8.875359305043844
certainly did,45,7.991156887721191
certainly didnt,49,7.90777527878214
certainly does,37,8.1822121244839
certainly doesnt,39,8.130918830096348
certainly dont,41,8.082128665926916
certainly film,23,8.64174445386234
certainly good,31,8.354062381410559
certainly great,23,8.64174445386234
certainly interesting,16,8.98658494015407
certainly isnt,64,7.645411014314648
certainly like,14,9.111748083108075
certainly lot,21,8.72875583085197
certainly makes,17,8.92942652631412
certainly movie,19,8.824066010656296
certainly seen,14,9.111748083108075
certainly true,14,9.111748083108075
certainly wasnt,32,8.323290722743806
certainly wont,19,8.824066010656296
certainly worst,19,8.824066010656296
certainly worth,56,7.776747016375736
certainly wouldnt,18,8.875359305043844
certainty,36,8.20888037156606
certificate,29,8.41860090254813
cesar,43,8.035608650292025
cesar romero,21,8.72875583085197
cesspool,15,9.047209561970504
cetera,21,8.72875583085197
ceylan,10,9.421903011411915
ceylon,12,9.25484892674875
cf,15,9.047209561970504
cg,125,6.983516377258808
cg effects,15,9.047209561970504
cgi,517,5.569823041950802
cgi effects,40,8.106226217505977
chabat,10,9.421903011411915
chabert,12,9.25484892674875
chabrol,18,8.875359305043844
chabrols,10,9.421903011411915
chad,41,8.082128665926916
chad michael,12,9.25484892674875
chagrin,33,8.293437759594124
chain,207,6.482260204508968
chain events,23,8.64174445386234
chain saw,17,8.92942652631412
chained,56,7.776747016375736
chains,52,7.849506370658164
chainsaw,151,6.7959177633640095
chainsaw massacre,84,7.377147027719969
chainsmoking,18,8.875359305043844
chair,262,6.247644252032521
chairman,28,8.452502454223811
chairs,52,7.849506370658164
chalk,51,7.868554565628858
chalkboard,17,8.92942652631412
challenge,284,6.167309103941635
challenged,152,6.789360362817851
challenger,24,8.600922459342085
challenges,130,6.944600961009134
challenging,174,6.6550123102867715
chamber,65,7.63014354218386
chamberlain,34,8.264450222720871
chamberlains,20,8.775275846486863
chambers,16,8.98658494015407
chameleon,19,8.824066010656296
champ,29,8.41860090254813
champagne,32,8.323290722743806
champion,109,7.119317918417869
champions,31,8.354062381410559
championship,80,7.425349129537847
champlain,15,9.047209561970504
chan,167,6.695834304807027
chan film,18,8.875359305043844
chance,1929,4.2545230023113545
chance catch,14,9.111748083108075
chance film,28,8.452502454223811
chance good,15,9.047209561970504
chance just,20,8.775275846486863
chance like,14,9.111748083108075
chance make,31,8.354062381410559
chance meeting,15,9.047209561970504
chance movie,39,8.130918830096348
chance play,14,9.111748083108075
chance really,14,9.111748083108075
chance watch,60,7.708924420036975
chancellor,15,9.047209561970504
chances,225,6.399263284938
chandler,39,8.130918830096348
chaney,69,7.571303042160927
chaney jr,40,8.106226217505977
chang,29,8.41860090254813
change,1669,4.399219378799485
change channel,37,8.1822121244839
change heart,37,8.1822121244839
change life,45,7.991156887721191
change lives,17,8.92942652631412
change mind,46,7.969650682500228
change movie,23,8.64174445386234
change pace,45,7.991156887721191
change things,21,8.72875583085197
change way,25,8.561701746188803
change world,29,8.41860090254813
changed,863,5.05822551540623
changed life,19,8.824066010656296
changed mind,32,8.323290722743806
changed movie,15,9.047209561970504
changed years,20,8.775275846486863
changeling,14,9.111748083108075
changes,760,5.1851649263486
changes mind,16,8.98658494015407
changi,13,9.180740954595027
changing,333,6.008657291233585
channel,798,5.136437338444011
channel movie,22,8.684304068281136
channel original,18,8.875359305043844
channel surfing,28,8.452502454223811
channeling,28,8.452502454223811
channels,185,6.594051610497084
channing,36,8.20888037156606
channing tatum,18,8.875359305043844
chans,43,8.035608650292025
chant,28,8.452502454223811
chanting,26,8.523961418205957
chants,15,9.047209561970504
chanwook,24,8.600922459342085
chanwook park,11,9.334891634422286
chaos,203,6.501678290366069
chaos theory,12,9.25484892674875
chaotic,94,7.265921392609745
chap,27,8.487593774035082
chapa,17,8.92942652631412
chapel,19,8.824066010656296
chapelle,12,9.25484892674875
chaplin,184,6.599442459131961
chaplins,62,7.676663557818753
chapman,15,9.047209561970504
chappelle,15,9.047209561970504
chappelles,9,9.517213191216241
chapter,132,6.929449155988532
chapters,77,7.463089457520694
character,9145,2.6987263799922854
character absolutely,15,9.047209561970504
character acting,38,8.156236638080639
character actor,124,6.9914845469079845
character actors,158,6.7508940819900545
character actress,22,8.684304068281136
character actually,36,8.20888037156606
character animation,13,9.180740954595027
character annoying,18,8.875359305043844
character arcs,14,9.111748083108075
character bad,16,8.98658494015407
character based,15,9.047209561970504
character believable,19,8.824066010656296
character best,20,8.775275846486863
character better,14,9.111748083108075
character bit,20,8.775275846486863
character book,18,8.875359305043844
character called,29,8.41860090254813
character changes,18,8.875359305043844
character character,28,8.452502454223811
character characters,21,8.72875583085197
character come,22,8.684304068281136
character comes,30,8.38581107972514
character completely,33,8.293437759594124
character course,15,9.047209561970504
character depth,23,8.64174445386234
character design,27,8.487593774035082
character designs,21,8.72875583085197
character developed,17,8.92942652631412
character development,606,5.411269493150788
character did,30,8.38581107972514
character didnt,31,8.354062381410559
character dies,24,8.600922459342085
character does,73,7.515733191006116
character doesnt,37,8.1822121244839
character dont,18,8.875359305043844
character driven,37,8.1822121244839
character end,22,8.684304068281136
character fact,15,9.047209561970504
character far,24,8.600922459342085
character felt,14,9.111748083108075
character film,183,6.6048625266013
character flaws,15,9.047209561970504
character gets,61,7.692663899165194
character given,21,8.72875583085197
character goes,37,8.1822121244839
character going,18,8.875359305043844
character good,37,8.1822121244839
character got,19,8.824066010656296
character great,27,8.487593774035082
character hard,16,8.98658494015407
character having,21,8.72875583085197
character hes,35,8.236279345754177
character instead,24,8.600922459342085
character interaction,24,8.600922459342085
character interesting,37,8.1822121244839
character introduced,22,8.684304068281136
character isnt,32,8.323290722743806
character jack,14,9.111748083108075
character john,22,8.684304068281136
character just,123,6.999516718605249
character killed,17,8.92942652631412
character kind,14,9.111748083108075
character know,15,9.047209561970504
character left,16,8.98658494015407
character life,18,8.875359305043844
character like,82,7.400957676413688
character liked,15,9.047209561970504
character little,37,8.1822121244839
character look,17,8.92942652631412
character looks,15,9.047209561970504
character lot,18,8.875359305043844
character love,17,8.92942652631412
character make,18,8.875359305043844
character makes,36,8.20888037156606
character making,15,9.047209561970504
character man,19,8.824066010656296
character michael,14,9.111748083108075
character motivation,15,9.047209561970504
character movie,194,6.546798725646539
character mr,15,9.047209561970504
character named,44,8.013135794439966
character names,21,8.72875583085197
character original,18,8.875359305043844
character perfect,14,9.111748083108075
character performance,14,9.111748083108075
character play,20,8.775275846486863
character played,169,6.683999847160024
character plays,48,7.927977986099659
character plot,34,8.264450222720871
character portrayed,33,8.293437759594124
character pretty,21,8.72875583085197
character probably,21,8.72875583085197
character quite,25,8.561701746188803
character real,40,8.106226217505977
character really,103,7.175407385068913
character relationships,16,8.98658494015407
character rest,17,8.92942652631412
character right,14,9.111748083108075
character role,14,9.111748083108075
character said,16,8.98658494015407
character say,16,8.98658494015407
character says,28,8.452502454223811
character seen,29,8.41860090254813
character shes,18,8.875359305043844
character shows,15,9.047209561970504
character simply,21,8.72875583085197
character story,55,7.794446593475136
character studies,19,8.824066010656296
character study,100,7.204677767369026
character supposed,49,7.90777527878214
character takes,23,8.64174445386234
character thats,18,8.875359305043844
character think,22,8.684304068281136
character time,21,8.72875583085197
character totally,17,8.92942652631412
character traits,20,8.775275846486863
character true,15,9.047209561970504
character turns,15,9.047209561970504
character wasnt,22,8.684304068281136
character way,35,8.236279345754177
character whos,17,8.92942652631412
character written,27,8.487593774035082
character young,18,8.875359305043844
characterdriven,38,8.156236638080639
characterisation,92,7.28719879105703
characterisations,22,8.684304068281136
characterised,15,9.047209561970504
characteristic,76,7.475992862356602
characteristics,108,7.1284504019811425
characterization,236,6.3517381430751545
characterizations,111,7.101299412915191
characterized,41,8.082128665926916
characters,10539,2.5568654621149323
characters absolutely,14,9.111748083108075
characters act,27,8.487593774035082
characters acted,15,9.047209561970504
characters acting,47,7.948597273302394
characters action,14,9.111748083108075
characters actions,27,8.487593774035082
characters actors,51,7.868554565628858
characters actually,49,7.90777527878214
characters add,14,9.111748083108075
characters amazing,15,9.047209561970504
characters annoying,33,8.293437759594124
characters appear,45,7.991156887721191
characters arent,64,7.645411014314648
characters audience,18,8.875359305043844
characters awful,18,8.875359305043844
characters bad,46,7.969650682500228
characters behave,17,8.92942652631412
characters believable,55,7.794446593475136
characters best,24,8.600922459342085
characters better,32,8.323290722743806
characters big,14,9.111748083108075
characters bit,28,8.452502454223811
characters book,17,8.92942652631412
characters boring,23,8.64174445386234
characters cardboard,17,8.92942652631412
characters care,36,8.20888037156606
characters change,17,8.92942652631412
characters character,24,8.600922459342085
characters characters,37,8.1822121244839
characters come,68,7.585691779613026
characters completely,46,7.969650682500228
characters complex,14,9.111748083108075
characters course,19,8.824066010656296
characters created,17,8.92942652631412
characters depth,27,8.487593774035082
characters develop,21,8.72875583085197
characters developed,73,7.515733191006116
characters dialog,21,8.72875583085197
characters dialogue,21,8.72875583085197
characters did,37,8.1822121244839
characters didnt,33,8.293437759594124
characters die,14,9.111748083108075
characters different,47,7.948597273302394
characters dimensional,36,8.20888037156606
characters does,20,8.775275846486863
characters doesnt,18,8.875359305043844
characters doing,24,8.600922459342085
characters dont,108,7.1284504019811425
characters drawn,20,8.775275846486863
characters dull,15,9.047209561970504
characters emotions,14,9.111748083108075
characters end,24,8.600922459342085
characters engaging,17,8.92942652631412
characters especially,50,7.88797265148596
characters events,21,8.72875583085197
characters excellent,20,8.775275846486863
characters extremely,19,8.824066010656296
characters face,15,9.047209561970504
characters far,21,8.72875583085197
characters feel,38,8.156236638080639
characters felt,24,8.600922459342085
characters film,219,6.426170737857924
characters films,22,8.684304068281136
characters flat,14,9.111748083108075
characters fully,14,9.111748083108075
characters fun,17,8.92942652631412
characters funny,35,8.236279345754177
characters given,28,8.452502454223811
characters going,29,8.41860090254813
characters good,84,7.377147027719969
characters got,15,9.047209561970504
characters great,59,7.725453721988185
characters hard,15,9.047209561970504
characters having,15,9.047209561970504
characters human,15,9.047209561970504
characters include,17,8.92942652631412
characters including,42,8.058598168516724
characters instead,16,8.98658494015407
characters interact,20,8.775275846486863
characters interesting,65,7.63014354218386
characters introduced,47,7.948597273302394
characters involved,39,8.130918830096348
characters just,171,6.672303807396832
characters killed,21,8.72875583085197
characters kind,18,8.875359305043844
characters know,28,8.452502454223811
characters lack,20,8.775275846486863
characters left,25,8.561701746188803
characters life,31,8.354062381410559
characters likable,57,7.759355273663867
characters like,145,6.83619166250195
characters lines,19,8.824066010656296
characters little,60,7.708924420036975
characters live,23,8.64174445386234
characters lives,26,8.523961418205957
characters long,14,9.111748083108075
characters look,40,8.106226217505977
characters lot,20,8.775275846486863
characters love,25,8.561701746188803
characters main,29,8.41860090254813
characters make,78,7.4503504317432645
characters makes,32,8.323290722743806
characters making,22,8.684304068281136
characters maybe,18,8.875359305043844
characters meet,18,8.875359305043844
characters memorable,15,9.047209561970504
characters motivations,30,8.38581107972514
characters motives,16,8.98658494015407
characters movie,258,6.262970222510748
characters movies,22,8.684304068281136
characters names,31,8.354062381410559
characters new,22,8.684304068281136
characters onedimensional,31,8.354062381410559
characters original,36,8.20888037156606
characters particularly,28,8.452502454223811
characters people,23,8.64174445386234
characters perfectly,14,9.111748083108075
characters personalities,14,9.111748083108075
characters play,28,8.452502454223811
characters played,76,7.475992862356602
characters plot,77,7.463089457520694
characters point,15,9.047209561970504
characters poor,21,8.72875583085197
characters poorly,17,8.92942652631412
characters portrayed,45,7.991156887721191
characters pretty,37,8.1822121244839
characters probably,14,9.111748083108075
characters quite,29,8.41860090254813
characters real,95,7.25545009274245
characters realistic,26,8.523961418205957
characters really,123,6.999516718605249
characters relationships,21,8.72875583085197
characters ridiculous,15,9.047209561970504
characters say,38,8.156236638080639
characters saying,23,8.64174445386234
characters scene,16,8.98658494015407
characters screen,25,8.561701746188803
characters seen,24,8.600922459342085
characters series,17,8.92942652631412
characters set,15,9.047209561970504
characters shallow,32,8.323290722743806
characters simply,27,8.487593774035082
characters situation,20,8.775275846486863
characters situations,59,7.725453721988185
characters somewhat,15,9.047209561970504
characters speak,30,8.38581107972514
characters start,18,8.875359305043844
characters stereotypes,15,9.047209561970504
characters stereotypical,16,8.98658494015407
characters stories,24,8.600922459342085
characters story,127,6.967768020290668
characters strong,18,8.875359305043844
characters stupid,30,8.38581107972514
characters supposed,29,8.41860090254813
characters talk,27,8.487593774035082
characters talking,15,9.047209561970504
characters theres,19,8.824066010656296
characters theyre,22,8.684304068281136
characters thing,15,9.047209561970504
characters think,26,8.523961418205957
characters thought,19,8.824066010656296
characters time,29,8.41860090254813
characters totally,25,8.561701746188803
characters truly,22,8.684304068281136
characters trying,17,8.92942652631412
characters unbelievable,18,8.875359305043844
characters unique,20,8.775275846486863
characters unlikeable,17,8.92942652631412
characters way,40,8.106226217505977
characters weak,17,8.92942652631412
characters werent,28,8.452502454223811
characters wonderful,15,9.047209561970504
characters work,19,8.824066010656296
characters written,19,8.824066010656296
charade,22,8.684304068281136
charge,326,6.0298381133130325
charged,127,6.967768020290668
charges,81,7.413079036946033
charging,31,8.354062381410559
chariot,13,9.180740954595027
charisma,246,6.3104099475823086
charismatic,228,6.386076280656046
charitable,29,8.41860090254813
charity,75,7.489064943923955
charlene,13,9.180740954595027
charles,688,5.284557013196627
charles band,23,8.64174445386234
charles bickford,14,9.111748083108075
charles boyer,30,8.38581107972514
charles bronson,51,7.868554565628858
charles dance,22,8.684304068281136
charles dickens,27,8.487593774035082
charles durning,18,8.875359305043844
charles grodin,14,9.111748083108075
charles martin,16,8.98658494015407
charleston,17,8.92942652631412
charley,32,8.323290722743806
charlie,419,5.779543572932872
charlie chan,20,8.775275846486863
charlie chaplin,45,7.991156887721191
charlie sheen,42,8.058598168516724
charlie wilson,13,9.180740954595027
charlie wilsons,15,9.047209561970504
charlies,79,7.437771649536404
charlies angels,35,8.236279345754177
charlize,37,8.1822121244839
charlize theron,32,8.323290722743806
charlotte,139,6.878155861600981
charlotte gainsbourg,17,8.92942652631412
charlotte lewis,16,8.98658494015407
charlotte rampling,15,9.047209561970504
charlton,66,7.615105664819319
charlton heston,59,7.725453721988185
charly,8,9.622573706874066
charm,702,5.264441392399621
charm movie,17,8.92942652631412
charmed,48,7.927977986099659
charmer,23,8.64174445386234
charming,776,5.164357933842639
charming film,29,8.41860090254813
charming funny,21,8.72875583085197
charming little,15,9.047209561970504
charming movie,17,8.92942652631412
charmingly,31,8.354062381410559
charmless,18,8.875359305043844
charms,110,7.110268082897952
chart,16,8.98658494015407
charter,17,8.92942652631412
charts,42,8.058598168516724
chase,696,5.273012873449762
chase movie,13,9.180740954595027
chase scene,80,7.425349129537847
chase scenes,48,7.927977986099659
chase sequence,27,8.487593774035082
chase sequences,18,8.875359305043844
chased,175,6.649314289172134
chaser,16,8.98658494015407
chasers,12,9.25484892674875
chases,256,6.270722199315066
chasing,255,6.274620839730724
chaste,16,8.98658494015407
chastity,12,9.25484892674875
chat,82,7.400957676413688
chatter,27,8.487593774035082
chattering,14,9.111748083108075
chatting,35,8.236279345754177
chatty,15,9.047209561970504
chauffeur,28,8.452502454223811
chauvinistic,16,8.98658494015407
chavez,28,8.452502454223811
chavo,10,9.421903011411915
chawla,19,8.824066010656296
chayefsky,12,9.25484892674875
chazz,11,9.334891634422286
che,41,8.082128665926916
che guevara,14,9.111748083108075
cheadle,53,7.8308142376460115
cheadles,14,9.111748083108075
cheap,1544,4.47701909487844
cheap attempt,14,9.111748083108075
cheap film,21,8.72875583085197
cheap horror,26,8.523961418205957
cheap laughs,23,8.64174445386234
cheap looking,51,7.868554565628858
cheap movie,17,8.92942652631412
cheap production,16,8.98658494015407
cheap scares,16,8.98658494015407
cheap sets,20,8.775275846486863
cheap shot,15,9.047209561970504
cheap shots,17,8.92942652631412
cheap special,26,8.523961418205957
cheap thrill,13,9.180740954595027
cheap thrills,30,8.38581107972514
cheap video,13,9.180740954595027
cheap way,14,9.111748083108075
cheaper,70,7.5571184071689705
cheapest,45,7.991156887721191
cheapie,17,8.92942652631412
cheaply,97,7.234830805539714
cheapness,33,8.293437759594124
cheapo,35,8.236279345754177
cheat,81,7.413079036946033
cheated,176,6.643648551636456
cheaters,9,9.517213191216241
cheating,179,6.626841433320076
cheating husband,18,8.875359305043844
cheating wife,18,8.875359305043844
cheats,66,7.615105664819319
check,1290,4.6566258933636435
check film,25,8.561701746188803
check movie,34,8.264450222720871
checked,161,6.7322019489779015
checking,261,6.2514537804491885
checkout,20,8.775275846486863
checks,46,7.969650682500228
cheech,34,8.264450222720871
cheech chong,18,8.875359305043844
cheek,113,7.08359983581579
cheeks,29,8.41860090254813
cheeky,36,8.20888037156606
cheer,112,7.092410465497945
cheered,41,8.082128665926916
cheerful,81,7.413079036946033
cheerfully,29,8.41860090254813
cheering,85,7.365450987956778
cheerleader,45,7.991156887721191
cheerleader massacre,10,9.421903011411915
cheerleaders,26,8.523961418205957
cheerleading,11,9.334891634422286
cheers,97,7.234830805539714
cheery,26,8.523961418205957
cheese,278,6.188586502388921
cheesecake,19,8.824066010656296
cheesier,16,8.98658494015407
cheesiest,36,8.20888037156606
cheesiness,65,7.63014354218386
cheesy,1129,4.7898253725039
cheesy acting,19,8.824066010656296
cheesy dialogue,22,8.684304068281136
cheesy effects,19,8.824066010656296
cheesy fun,18,8.875359305043844
cheesy horror,36,8.20888037156606
cheesy movie,32,8.323290722743806
cheesy movies,19,8.824066010656296
cheesy special,19,8.824066010656296
cheetah,14,9.111748083108075
cheezy,32,8.323290722743806
chef,67,7.600290579034179
chefs,14,9.111748083108075
chelsea,17,8.92942652631412
chemical,64,7.645411014314648
chemicals,16,8.98658494015407
chemistry,841,5.084018269967959
chemistry actors,21,8.72875583085197
chemistry characters,17,8.92942652631412
chemistry leads,24,8.600922459342085
chemistry main,17,8.92942652631412
chemistry screen,22,8.684304068281136
chen,36,8.20888037156606
cheney,18,8.875359305043844
cheng,19,8.824066010656296
cheque,15,9.047209561970504
cher,37,8.1822121244839
cherie,15,9.047209561970504
cherish,46,7.969650682500228
cherished,41,8.082128665926916
cherry,49,7.90777527878214
cheryl,21,8.72875583085197
ches,19,8.824066010656296
chess,72,7.529338843061895
chess player,12,9.25484892674875
chest,182,6.610312131368865
chester,23,8.64174445386234
chestnut,23,8.64174445386234
chests,15,9.047209561970504
cheung,53,7.8308142376460115
chevy,63,7.660915200850614
chevy chase,47,7.948597273302394
chew,74,7.502310170673975
chew scenery,14,9.111748083108075
chewbacca,14,9.111748083108075
chewed,21,8.72875583085197
chewing,69,7.571303042160927
chewing scenery,19,8.824066010656296
chews,44,8.013135794439966
chews scenery,22,8.684304068281136
cheyenne,19,8.824066010656296
chi,20,8.775275846486863
chiba,19,8.824066010656296
chic,50,7.88797265148596
chicago,206,6.487079490944916
chick,385,5.863960914745455
chick flick,90,7.308938777693435
chick flicks,18,8.875359305043844
chicken,155,6.769942276960749
chicken run,12,9.25484892674875
chickens,37,8.1822121244839
chickflick,17,8.92942652631412
chicks,152,6.789360362817851
chico,29,8.41860090254813
chief,365,5.917164950808919
chief police,23,8.64174445386234
chief villain,14,9.111748083108075
chiefly,25,8.561701746188803
chiefs,27,8.487593774035082
chikatilo,11,9.334891634422286
child,1701,4.380238975076966
child abuse,42,8.058598168516724
child actor,42,8.058598168516724
child actors,55,7.794446593475136
child movie,23,8.64174445386234
child star,14,9.111748083108075
childhood,569,5.47416192338169
childhood friend,23,8.64174445386234
childhood memories,32,8.323290722743806
childish,197,6.531531253515751
childishly,16,8.98658494015407
childlike,72,7.529338843061895
children,1965,4.236041983503174
children adults,37,8.1822121244839
children born,13,9.180740954595027
children corn,16,8.98658494015407
children dont,14,9.111748083108075
children film,26,8.523961418205957
children just,25,8.561701746188803
children love,14,9.111748083108075
children movie,30,8.38581107972514
children parents,15,9.047209561970504
children watch,20,8.775275846486863
childrens,335,6.002687124247082
childrens film,28,8.452502454223811
childrens films,14,9.111748083108075
childrens movie,36,8.20888037156606
childrens movies,14,9.111748083108075
childs,135,6.907143398474234
childs play,39,8.130918830096348
chile,17,8.92942652631412
chilean,17,8.92942652631412
chiles,14,9.111748083108075
chili,13,9.180740954595027
chill,86,7.353890165555702
chiller,53,7.8308142376460115
chillers,8,9.622573706874066
chilling,280,6.18144361487654
chillingly,27,8.487593774035082
chills,124,6.9914845469079845
chills spine,17,8.92942652631412
chilly,26,8.523961418205957
chimney,33,8.293437759594124
chimp,26,8.523961418205957
chimps,18,8.875359305043844
chin,47,7.948597273302394
china,256,6.270722199315066
china syndrome,14,9.111748083108075
chinas,18,8.875359305043844
chinatown,35,8.236279345754177
chinese,380,5.876998909083585
chinese ghost,18,8.875359305043844
ching,27,8.487593774035082
chintzy,16,8.98658494015407
chip,67,7.600290579034179
chipettes,10,9.421903011411915
chipmunk,17,8.92942652631412
chipmunk adventure,8,9.622573706874066
chipmunks,24,8.600922459342085
chips,56,7.776747016375736
chloe,50,7.88797265148596
chloe franks,12,9.25484892674875
chock,54,7.812465098977815
chocolat,13,9.180740954595027
chocolate,68,7.585691779613026
choi,19,8.824066010656296
choice,942,4.970732001576828
choice movie,15,9.047209561970504
choice play,20,8.775275846486863
choice role,26,8.523961418205957
choices,331,6.014663315293797
choices make,16,8.98658494015407
choir,52,7.849506370658164
choke,44,8.013135794439966
choked,35,8.236279345754177
choking,28,8.452502454223811
chomps,14,9.111748083108075
chomsky,5,10.028038814982231
chong,37,8.1822121244839
choose,439,5.733023557297979
chooses,151,6.7959177633640095
choosing,113,7.08359983581579
chop,72,7.529338843061895
chop shop,14,9.111748083108075
chopped,106,7.146969449748379
chopper,43,8.035608650292025
chopping,49,7.90777527878214
choppy,140,6.871038393832118
